layer_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,32,0.3,0.606888,0.391361,0.393112,0.391361,0.484809,0.426511,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2758,1117,4512,1754,2304,72
0,32,0.35,0.60755,0.391303,0.39245,0.391303,0.486111,0.426221,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2761,1120,4512,1751,2304,72
0,32,0.4,0.608126,0.391518,0.391874,0.391518,0.487413,0.426087,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2764,1123,4512,1748,2304,72
0,32,0.45,0.609835,0.391846,0.390165,0.391846,0.490451,0.425927,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2772,1130,4512,1740,2304,72
0,32,0.5,0.61071,0.391248,0.38929,0.391248,0.490451,0.425927,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2776,1130,4512,1736,2304,72
0,32,0.55,0.611137,0.391287,0.388863,0.391287,0.491319,0.4255,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2778,1132,4512,1734,2304,72
0,32,0.6,0.612,0.391486,0.388,0.391486,0.492622,0.425189,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2782,1135,4512,1730,2304,72
0,32,0.65,0.612852,0.391761,0.387148,0.391761,0.493924,0.425513,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2786,1138,4512,1726,2304,72
0,32,0.7,0.613232,0.391997,0.386768,0.391997,0.494792,0.425875,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2788,1140,4512,1724,2304,72
0,32,0.75,0.61498,0.391897,0.38502,0.391897,0.497396,0.42609,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2796,1146,4512,1716,2304,72
0,32,0.8,0.615623,0.391866,0.384377,0.391866,0.49783,0.425853,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2799,1147,4512,1713,2304,72
0,32,0.85,0.616452,0.391957,0.383548,0.391957,0.499566,0.425094,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2803,1151,4512,1709,2304,72
0,32,0.9,0.617569,0.392122,0.382431,0.392122,0.501736,0.4245,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2808,1156,4512,1704,2304,72
0,32,0.95,0.61906,0.392401,0.38094,0.392401,0.504774,0.423661,0.722222,0.190055,0.813368,0.137994,0.874132,0.075111,0.970187,0.027397,2815,1163,4512,1697,2304,72
0,64,0.05,0.588081,0.393333,0.411919,0.393333,0.460938,0.425739,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2667,1062,4512,1845,2304,72
0,64,0.1,0.589587,0.393764,0.410413,0.393764,0.463108,0.426331,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2674,1067,4512,1838,2304,72
0,64,0.15,0.590231,0.393841,0.409769,0.393841,0.463976,0.426182,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2677,1069,4512,1835,2304,72
0,64,0.2,0.591109,0.39378,0.408891,0.39378,0.465712,0.425752,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2681,1073,4512,1831,2304,72
0,64,0.25,0.591561,0.394002,0.408439,0.394002,0.46658,0.425981,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2683,1075,4512,1829,2304,72
0,64,0.3,0.592949,0.394837,0.407051,0.394837,0.469184,0.427067,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2689,1081,4512,1823,2304,72
0,64,0.35,0.593384,0.395099,0.406616,0.395099,0.470052,0.427351,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2691,1083,4512,1821,2304,72
0,64,0.4,0.593574,0.395153,0.406426,0.395153,0.470486,0.427207,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2692,1084,4512,1820,2304,72
0,64,0.45,0.595162,0.395483,0.404838,0.395483,0.472656,0.428128,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2699,1089,4512,1813,2304,72
0,64,0.5,0.596166,0.395622,0.403834,0.395622,0.474392,0.428394,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2704,1093,4512,1808,2304,72
0,64,0.55,0.597386,0.396032,0.402614,0.396032,0.476562,0.428787,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2709,1098,4512,1803,2304,72
0,64,0.6,0.598655,0.396208,0.401345,0.396208,0.478733,0.428061,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2715,1103,4512,1797,2304,72
0,64,0.65,0.599165,0.396057,0.400835,0.396057,0.479167,0.428098,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2717,1104,4512,1795,2304,72
0,64,0.7,0.600719,0.395895,0.399281,0.395895,0.480903,0.429223,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2724,1108,4512,1788,2304,72
0,64,0.75,0.60223,0.396204,0.39777,0.396204,0.483507,0.429363,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2731,1114,4512,1781,2304,72
0,64,0.8,0.603591,0.395994,0.396409,0.395994,0.485243,0.429426,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2737,1118,4512,1775,2304,72
0,64,0.85,0.604953,0.396751,0.395047,0.396751,0.487847,0.43058,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2743,1124,4512,1769,2304,72
0,64,0.9,0.606381,0.397397,0.393619,0.397397,0.490451,0.431307,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2749,1130,4512,1763,2304,72
0,64,0.95,0.607726,0.39771,0.392274,0.39771,0.492188,0.432127,0.793403,0.170731,0.853299,0.11607,0.895399,0.074237,0.978674,0.019847,2755,1134,4512,1757,2304,72
