layer_idx,head_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,1,8,0.35,0.76258,0.261194,0.23742,0.261194,0.666667,0.352939,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,284,128,376,92,192,6
0,1,8,0.4,0.76258,0.261194,0.23742,0.261194,0.666667,0.352939,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,284,128,376,92,192,6
0,1,8,0.45,0.76258,0.261194,0.23742,0.261194,0.666667,0.352939,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,284,128,376,92,192,6
0,1,8,0.5,0.76258,0.261194,0.23742,0.261194,0.666667,0.352939,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,284,128,376,92,192,6
0,1,8,0.55,0.76258,0.261194,0.23742,0.261194,0.666667,0.352939,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,284,128,376,92,192,6
0,1,8,0.6,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.65,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.7,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.75,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.8,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.85,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.9,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,8,0.95,0.764928,0.260975,0.235072,0.260975,0.671875,0.351591,0.5,0.228218,0.510417,0.141682,0.723958,0.041991,0.903705,0.00704,285,129,376,91,192,6
0,1,16,0.05,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.1,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.15,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.2,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.25,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.3,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.35,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.4,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.45,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.5,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.55,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.6,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.65,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.7,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.75,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.8,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.85,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.9,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,16,0.95,0.687168,0.345878,0.312832,0.345878,0.583333,0.438491,0.416667,0.171796,0.614583,0.110731,0.791667,0.061626,0.932356,0.02536,261,112,376,115,192,6
0,1,32,0.05,0.877935,0.156456,0.122065,0.156456,0.786458,0.265421,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,330,151,376,46,192,6
0,1,32,0.1,0.880966,0.151493,0.119034,0.151493,0.791667,0.256851,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,331,152,376,45,192,6
