model_name,prompt_idx,prompt_type,prompt_length,layer_idx,head_idx,sketch_dim,theta,topk_overlap,rank_correlation,false_elimination_rate,elimination_rate,num_tokens
gpt2,0,short,10,0,8,32,0.7,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,9,32,0.7,0.875,0.9272727272727274,0.25,0.4,10
gpt2,0,short,10,0,10,32,0.7,0.875,0.9792207792207793,0.0,0.0,10
gpt2,0,short,10,0,11,32,0.7,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,32,0.9,0.875,0.8831168831168833,1.0,1.0,10
gpt2,0,short,10,0,1,32,0.9,0.875,0.9454545454545455,0.25,0.4,10
gpt2,0,short,10,0,2,32,0.9,0.875,0.9402597402597404,0.0,0.1,10
gpt2,0,short,10,0,3,32,0.9,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,4,32,0.9,1.0,0.9974025974025975,0.0,0.0,10
gpt2,0,short,10,0,5,32,0.9,0.875,0.9376623376623378,0.0,0.0,10
gpt2,0,short,10,0,6,32,0.9,0.75,0.9064935064935066,0.0,0.0,10
gpt2,0,short,10,0,7,32,0.9,1.0,0.9844155844155845,0.125,0.3,10
gpt2,0,short,10,0,8,32,0.9,0.875,0.9532467532467533,1.0,1.0,10
gpt2,0,short,10,0,9,32,0.9,0.875,0.9272727272727274,0.25,0.4,10
gpt2,0,short,10,0,10,32,0.9,0.875,0.9792207792207793,0.0,0.0,10
gpt2,0,short,10,0,11,32,0.9,1.0,0.9844155844155845,1.0,1.0,10
gpt2,0,short,10,0,0,64,0.1,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,1,64,0.1,1.0,0.9870129870129871,1.0,1.0,10
gpt2,0,short,10,0,2,64,0.1,1.0,0.9584415584415585,1.0,1.0,10
gpt2,0,short,10,0,3,64,0.1,1.0,0.9896103896103897,0.0,0.0,10
gpt2,0,short,10,0,4,64,0.1,1.0,0.9870129870129871,0.0,0.0,10
gpt2,0,short,10,0,5,64,0.1,0.875,0.9766233766233767,0.0,0.0,10
gpt2,0,short,10,0,6,64,0.1,0.875,0.9610389610389611,0.0,0.0,10
gpt2,0,short,10,0,7,64,0.1,0.875,0.9922077922077923,0.0,0.0,10
gpt2,0,short,10,0,8,64,0.1,1.0,0.9558441558441559,1.0,1.0,10
gpt2,0,short,10,0,9,64,0.1,1.0,0.9870129870129871,1.0,1.0,10
gpt2,0,short,10,0,10,64,0.1,0.75,0.9402597402597404,0.0,0.0,10
gpt2,0,short,10,0,11,64,0.1,0.875,0.9636363636363637,1.0,1.0,10
gpt2,0,short,10,0,0,64,0.3,0.875,0.9818181818181819,0.0,0.0,10
gpt2,0,short,10,0,1,64,0.3,1.0,0.9870129870129871,1.0,1.0,10
gpt2,0,short,10,0,2,64,0.3,1.0,0.9584415584415585,1.0,1.0,10
gpt2,0,short,10,0,3,64,0.3,1.0,0.9896103896103897,0.0,0.0,10
gpt2,0,short,10,0,4,64,0.3,1.0,0.9870129870129871,0.0,0.0,10
gpt2,0,short,10,0,5,64,0.3,0.875,0.9766233766233767,0.0,0.0,10
gpt2,0,short,10,0,6,64,0.3,0.875,0.9610389610389611,0.0,0.0,10
